id,Age,AnnualIncome,ExperienceYears,EducationLevel,EmploymentStatus,TrainingHours,CertificationsCompleted,PolicySales,CustomerInteractions,LeadConversions,ClientRetentionRate,CustomerFeedbackScore,Region,WorkHoursPerWeek,CommissionEarned,PolicyTypesSold,AverageResponseTime,CompetitorExperience,CompanyTrainingParticipation,ConfidenceScore
1,60,37996,31,High School,Employed,71,1,49,278,36,0.87,0.949,North,47,19648,3,6.89,1,0,High
2,50,128364,6,Master,Unemployed,175,5,31,198,104,0.73,0.613,South,58,13305,2,4.61,1,0,High
3,36,77485,29,Bachelor,Unemployed,93,2,68,512,188,0.53,0.426,East,55,9560,2,9.33,1,0,High
4,64,72830,27,High School,Employed,36,8,193,879,81,0.51,0.423,North,40,18194,1,5.74,1,1,High
5,29,59370,2,High School,Unemployed,134,2,86,338,228,0.53,0.111,North,30,6430,1,7.11,1,0,High
6,42,82572,22,Doctorate,Unemployed,73,8,4,742,182,0.84,0.829,East,20,17130,4,2.92,0,0,High
7,60,104008,9,High School,Employed,140,5,121,290,194,0.6,0.468,North,51,6185,2,3.08,1,1,Low
8,40,54098,11,High School,Unemployed,136,7,39,253,269,0.89,0.109,East,55,8458,1,2.49,1,0,High
9,44,86561,16,Bachelor,Employed,20,8,165,847,182,0.76,0.818,East,32,1653,1,8.14,0,0,Low
10,32,27196,13,High School,Employed,33,7,199,245,109,0.79,0.924,East,52,10000,2,1.86,0,0,Low
11,32,36091,18,Doctorate,Unemployed,38,1,189,600,259,0.58,0.678,South,54,3767,1,4.12,0,1,High
12,45,105576,25,Bachelor,Unemployed,17,2,1,700,209,0.94,0.984,South,24,9805,1,9.93,1,0,High
13,57,90254,33,Master,Employed,28,7,39,669,124,0.74,0.582,North,36,9975,1,7.04,1,1,High
14,61,74262,10,High School,Employed,77,4,70,929,286,0.71,0.176,West,41,9734,2,1.91,0,0,High
15,45,139320,30,Master,Unemployed,108,9,177,515,114,0.9,0.97,South,33,6219,2,7.32,1,1,High
16,24,149124,1,Master,Employed,133,3,149,511,143,0.52,0.368,South,29,13793,1,7.71,1,1,Low
17,43,31023,33,Bachelor,Unemployed,57,5,134,704,186,0.76,0.744,West,54,15891,4,8.99,0,0,High
18,23,45543,15,High School,Unemployed,177,5,124,610,154,0.86,0.553,South,55,18087,4,1.56,1,0,High
19,45,85029,29,Master,Employed,111,6,72,467,181,0.9,0.258,North,42,12659,3,2.5,1,1,High
20,51,118913,2,Master,Unemployed,153,4,108,264,59,0.58,0.451,West,59,15984,4,4.5,1,0,Low
21,59,127171,11,High School,Unemployed,73,0,162,532,203,0.7,0.463,South,38,9411,2,6.28,1,1,High
22,23,67337,34,Doctorate,Unemployed,17,7,101,246,77,0.66,0.78,North,55,6866,2,2.38,0,1,High
23,42,65409,19,High School,Unemployed,118,0,23,267,51,1.0,0.351,East,46,9042,2,4.76,1,1,Low
24,54,95540,2,High School,Unemployed,142,3,163,187,93,0.87,0.993,North,22,16313,1,2.09,0,0,High
25,33,34963,20,Doctorate,Employed,132,2,52,640,90,0.71,0.844,West,24,16723,2,3.43,1,1,High
26,43,38796,31,Bachelor,Unemployed,162,2,106,529,156,0.61,0.659,South,44,3412,2,7.49,1,1,High
27,46,65972,4,Doctorate,Unemployed,62,5,153,859,48,0.59,0.57,South,24,9810,2,8.22,1,1,Low
28,48,97613,29,Master,Unemployed,58,7,55,393,139,1.0,0.768,South,25,18169,2,9.2,0,1,High
29,63,120384,30,Master,Employed,81,4,85,341,256,0.79,0.958,East,20,1493,1,6.32,0,1,High
30,49,103062,13,Bachelor,Employed,158,5,88,606,258,0.86,0.998,North,50,11095,1,7.47,1,1,High
31,37,28261,15,High School,Unemployed,60,5,42,385,185,0.58,0.881,North,55,18672,1,8.35,0,0,High
32,36,42046,20,Bachelor,Employed,183,0,88,571,197,0.87,0.128,North,51,4325,4,2.38,0,1,High
33,24,38397,34,Doctorate,Unemployed,18,6,40,403,41,0.62,0.969,North,26,19348,2,8.04,0,0,Low
34,58,85436,28,Master,Employed,73,0,88,921,104,0.88,0.76,East,51,1176,1,7.18,1,0,Low
35,28,115805,20,Bachelor,Employed,32,6,165,427,73,0.96,0.652,North,24,2732,3,5.83,1,0,High
36,42,126694,25,Master,Unemployed,197,7,6,447,283,0.69,0.26,North,27,6175,4,3.33,0,1,High
37,30,50757,27,Doctorate,Employed,196,3,39,246,217,0.95,0.213,North,33,3300,3,7.76,1,1,High
38,60,142706,30,High School,Unemployed,145,7,107,579,275,0.73,0.512,West,29,16042,4,4.39,0,0,High
39,39,40299,20,Bachelor,Unemployed,63,5,151,938,198,0.9,0.749,South,47,17810,2,3.53,1,0,High
40,25,149384,1,High School,Employed,101,5,82,487,118,0.73,0.772,West,47,9550,2,1.21,0,1,Low
41,46,26902,35,High School,Employed,24,8,149,313,22,0.57,0.594,West,44,14647,1,9.09,1,1,High
42,35,143859,24,Bachelor,Unemployed,61,5,45,400,172,0.83,0.825,East,53,19253,4,4.36,1,0,Low
43,30,140016,25,Master,Unemployed,188,4,22,669,22,0.66,0.621,North,25,18382,1,3.84,0,0,High
44,47,67399,12,High School,Employed,13,9,83,621,150,0.54,0.488,East,43,9889,4,1.06,1,1,High
45,23,73330,11,Bachelor,Employed,171,9,83,387,211,0.83,0.43,West,53,14835,4,4.82,0,1,High
46,41,71308,30,Doctorate,Unemployed,110,5,134,190,258,0.79,0.36,West,32,4680,1,6.34,0,1,High
47,49,145983,13,High School,Unemployed,161,7,161,278,115,0.97,0.839,West,20,19850,3,8.65,1,0,High
48,28,28846,25,Bachelor,Unemployed,158,8,138,188,197,0.54,0.297,East,38,2238,4,2.06,1,1,Low
49,29,37359,25,Doctorate,Unemployed,139,9,170,308,36,0.72,0.91,East,59,8061,3,8.19,1,1,Low
50,56,74376,17,High School,Unemployed,16,9,71,961,67,0.62,0.377,North,40,5164,2,5.93,0,1,High
51,35,93056,12,Doctorate,Employed,193,7,101,633,144,0.74,0.484,West,28,19884,1,7.59,1,0,Low
52,38,65832,11,Doctorate,Unemployed,84,7,138,770,219,0.92,0.234,North,55,7718,1,6.42,0,0,Low
